"geno_ID","year","location","pltht","yld_bu_ac","earht"
"ARGNETINE FLINTY COMPOSITE-C(1)-37-B-B-B2-1-B25/LH195",2014,"Georgetown",234,203.2753912,108
"B37/Mo17",2014,"Georgetown",271,227.3461652,170
"B37/OH43",2014,"Georgetown",246,205.3315049,129
"B73_NC230-126-1-1-1-1/LH195",2014,"Georgetown",203,136.478859,82.9999999999999
"B73_NC230-127-1-1-1-1/LH195",2014,"Georgetown",264,189.7460653,123
"B73_NC230-128-1-1-1-1/LH195",2014,"Georgetown",240,176.1985912,104
"B73_NC230-129-1-1-1-1/LH195",2014,"Georgetown",266,174.8107353,127
"B73/Mo17",2014,"Georgetown",247,189.8563869,121
"B73/PHG35",2014,"Georgetown",242,151.4551417,116
"B73/PHM49",2014,"Georgetown",255,216.3516104,137
"B73/PHN82",2014,"Georgetown",269,218.7706871,126
"B73/TX205",2014,"Georgetown",304,168.1651696,152
"CG120/LH185",2014,"Georgetown",231,176.1569221,117
"CG65/LH185",2014,"Georgetown",289,228.7404685,153
"CGR03/LH185",2014,"Georgetown",272,174.7245316,154
"LH132/LH51",2014,"Georgetown",253,215.2418272,118
"LH162/CG60",2014,"Georgetown",238,209.6781061,101
"LH195/LH185",2014,"Georgetown",243,280.2975698,133
"LH195/REDEAR-B",2014,"Georgetown",317,198.5402764,157
"LH198/CGR01",2014,"Georgetown",281,200.7527985,151
"LH74/PHG35",2014,"Georgetown",204,150.5517937,63.9999999999999
"LH74/PHM49",2014,"Georgetown",221,81.8547203699998,110
"LH74/PHN82",2014,"Georgetown",276,203.8443118,136
"LH74/TX205",2014,"Georgetown",273,180.6846465,129
"LH82/CG60",2014,"Georgetown",271,187.4204754,120
"LH82/CGR01",2014,"Georgetown",272,244.025986,145
"LH82/LH198",2014,"Georgetown",207,167.3413391,96.9999999999999
"M0001/LH185",2014,"Georgetown",220,186.7640378,98.9999999999999
"M0001/LH195",2014,"Georgetown",256,191.1024006,127
"M0003/LH185",2014,"Georgetown",239,104.2066736,92
"M0007/LH195",2014,"Georgetown",262,179.155665,120
"M0008/LH185",2014,"Georgetown",244,183.3765424,124
"M0010/LH195",2014,"Georgetown",243,177.2216931,106
"M0012/LH185",2014,"Georgetown",264,131.6571823,130
"M0015/LH195",2014,"Georgetown",234,201.6211635,114
"M0022/LH185",2014,"Georgetown",273,172.3739881,145
"M0027/LH185",2014,"Georgetown",202,111.2027852,99.9999999999999
"M0028/LH185",2014,"Georgetown",257,189.4587992,125
"M0030/LH185",2014,"Georgetown",242,172.9609374,121
"M0033/LH195",2014,"Georgetown",244,248.7004479,115
"M0035/LH185",2014,"Georgetown",242,165.1623672,118
"M0039/LH195",2014,"Georgetown",229,191.5244645,125
"M0041/LH185",2014,"Georgetown",265,245.3051918,117
"M0042/LH185",2014,"Georgetown",244,180.1595442,121
"M0045/LH185",2014,"Georgetown",264,344.631087799999,153
"M0051/LH185",2014,"Georgetown",230,176.1671901,123
"M0052/LH185",2014,"Georgetown",211,173.7967075,91.9999999999999
"M0057/LH195",2014,"Georgetown",228,216.0650607,115
"M0058/LH185",2014,"Georgetown",288,175.4181014,170
"M0058/LH195",2014,"Georgetown",235,167.5058664,115
"M0066/LH195",2014,"Georgetown",271,189.3176734,153
"M0075/LH185",2014,"Georgetown",223,185.877644,109
"M0076/LH185",2014,"Georgetown",261,197.5223085,136
"M0083/LH185",2014,"Georgetown",266,227.0314381,139
"M0085/LH185",2014,"Georgetown",271,189.7871374,121
"M0099/LH185",2014,"Georgetown",267,179.1938716,139
"M0099/LH195",2014,"Georgetown",200,115.7625077,89.9999999999999
"M0101/LH185",2014,"Georgetown",224,168.3859323,101
"M0106/LH185",2014,"Georgetown",239,198.1062729,141
"M0118/LH185",2014,"Georgetown",274,155.8694402,128
"M0143/LH185",2014,"Georgetown",286,180.638321,172
"M0143/LH195",2014,"Georgetown",237,161.4348329,130
"M0151/LH185",2014,"Georgetown",226,192.207408,139
"M0154/LH185",2014,"Georgetown",252,163.0615996,127
"M0154/LH195",2014,"Georgetown",223,278.841539,107
"M0159/LH185",2014,"Georgetown",269,175.4801871,129
"M0163/LH185",2014,"Georgetown",220,164.3878472,133
"M0164/LH195",2014,"Georgetown",264,209.590589,135
"M0186/LH185",2014,"Georgetown",245,196.8833026,123
"M0272/LH185",2014,"Georgetown",230,161.0863168,113
"M0287/LH185",2014,"Georgetown",242,216.6503385,125
"M0296/LH185",2014,"Georgetown",258,193.1001298,129
"M0297/LH185",2014,"Georgetown",251,224.6488965,132
"M0311/LH185",2014,"Georgetown",214,185.6481654,112
"M0317/LH185",2014,"Georgetown",221,179.962183,93.9999999999999
"M0317/LH195",2014,"Georgetown",293,233.6536023,161
"M0321/LH195",2014,"Georgetown",234,260.1630339,121
"M0323/LH185",2014,"Georgetown",294,173.1763273,149
"M0325/LH185",2014,"Georgetown",252,135.0628258,123
"M0325/LH195",2014,"Georgetown",282,155.1567672,155
"M0326/LH195",2014,"Georgetown",238,198.6525084,94.9999999999999
"M0346/LH185",2014,"Georgetown",259,190.3517598,128
"M0352/LH185",2014,"Georgetown",216,125.7762267,106
"M0369/LH185",2014,"Georgetown",244,223.118721,121
"M0382/LH195",2014,"Georgetown",214,134.809468,108
"MO44_LH145_0138/LH195",2014,"Georgetown",261,196.9207928,148
"MO44_LH145_0143/LH195",2014,"Georgetown",277,258.5072541,131
"MOG_LH123HT-059-1-1-1-1-B/LH195",2014,"Georgetown",251,112.8490134,132
"MOG_LH145_0057/PB80",2014,"Georgetown",245,209.022743,125
"MOG_LH145_0131/LH195",2014,"Georgetown",233.5,188.26072285,108
"MOG_MO45-030-1-1-1-1-B/LH195",2014,"Georgetown",226,184.8188427,83.9999999999999
