"year","location","SandProp","ClayProp","SiltProp","OM"
2014,"Georgetown",81,6,13,2.5
2014,"Columbia",31,28,41,2.6
2014,"Aurora",35,30,35,3.2
2014,"Waterloo",65,17,18,2.5
2014,"CollegeStation",11,59,30,1.75
2014,"WestMadison",7.2,22.5,70.3,4
2015,"Georgetown",80,6,14,1.2
2015,"Columbia",21,23,56,2.2
2015,"Aurora",35,30,35,3.2
2015,"Waterloo",43,14,43,2.8
2015,"CollegeStation",11,59,30,1.75
2016,"Georgetown",75,12,13,2.3
2016,"Columbia",21,23,56,2.2
2016,"Aurora",43,21,36,3.1
2016,"Waterloo",43,14,43,2.8
2016,"CollegeStation",11,59,30,1.75
2016,"WestMadison",19,27,54,3.1
2017,"Georgetown",78,12,10,1.6
2017,"Columbia",10,27,63,1.9
2017,"Aurora",35,30,35,3.2
2017,"Waterloo",65,17,18,2.5
2017,"WestMadison",17,36,47,4.3
